Start word,Number of won games,Total games,Percentage of won games,Average number of rounds
slice,2305,2314,99.61,3.58
split,2305,2314,99.61,3.58
steal,2305,2314,99.61,3.58
penal,2305,2314,99.61,3.59
petal,2305,2314,99.61,3.59
sonar,2305,2314,99.61,3.59
space,2305,2314,99.61,3.59
camel,2305,2314,99.61,3.60
chart,2305,2314,99.61,3.60
resin,2305,2314,99.61,3.60
bloat,2305,2314,99.61,3.61
eclat,2305,2314,99.61,3.61
polar,2305,2314,99.61,3.61
spore,2305,2314,99.61,3.61
those,2305,2314,99.61,3.61
frost,2305,2314,99.61,3.62
pedal,2305,2314,99.61,3.62
recap,2305,2314,99.61,3.62
salty,2305,2314,99.61,3.62
sauce,2305,2314,99.61,3.62
slime,2305,2314,99.61,3.62
spice,2305,2314,99.61,3.62
wrist,2305,2314,99.61,3.62
acrid,2305,2314,99.61,3.63
chant,2305,2314,99.61,3.63
email,2305,2314,99.61,3.63
flint,2305,2314,99.61,3.63
loath,2305,2314,99.61,3.63
molar,2305,2314,99.61,3.63
palsy,2305,2314,99.61,3.63
pesto,2305,2314,99.61,3.63
pulse,2305,2314,99.61,3.63
shape,2305,2314,99.61,3.63
third,2305,2314,99.61,3.63
tiger,2305,2314,99.61,3.63
aloft,2305,2314,99.61,3.64
borne,2305,2314,99.61,3.64
built,2305,2314,99.61,3.64
burst,2305,2314,99.61,3.64
facet,2305,2314,99.61,3.64
float,2305,2314,99.61,3.64
frail,2305,2314,99.61,3.64
moult,2305,2314,99.61,3.64
singe,2305,2314,99.61,3.64
tubal,2305,2314,99.61,3.64
worst,2305,2314,99.61,3.64
braid,2305,2314,99.61,3.65
chain,2305,2314,99.61,3.65
chard,2305,2314,99.61,3.65
chose,2305,2314,99.61,3.65
lucid,2305,2314,99.61,3.65
nasty,2305,2314,99.61,3.65
rouse,2305,2314,99.61,3.65
scaly,2305,2314,99.61,3.65
stamp,2305,2314,99.61,3.65
bacon,2305,2314,99.61,3.66
chord,2305,2314,99.61,3.66
crush,2305,2314,99.61,3.66
final,2305,2314,99.61,3.66
graft,2305,2314,99.61,3.66
habit,2305,2314,99.61,3.66
mount,2305,2314,99.61,3.66
pansy,2305,2314,99.61,3.66
patsy,2305,2314,99.61,3.66
serum,2305,2314,99.61,3.66
stalk,2305,2314,99.61,3.66
birth,2305,2314,99.61,3.67
broth,2305,2314,99.61,3.67
cameo,2305,2314,99.61,3.67
crown,2305,2314,99.61,3.67
demon,2305,2314,99.61,3.67
ditch,2305,2314,99.61,3.67
drown,2305,2314,99.61,3.67
locus,2305,2314,99.61,3.67
mealy,2305,2314,99.61,3.67
micro,2305,2314,99.61,3.67
mourn,2305,2314,99.61,3.67
pitch,2305,2314,99.61,3.67
style,2305,2314,99.61,3.67
swine,2305,2314,99.61,3.67
tempo,2305,2314,99.61,3.67
candy,2305,2314,99.61,3.68
china,2305,2314,99.61,3.68
creak,2305,2314,99.61,3.68
dowel,2305,2314,99.61,3.68
froth,2305,2314,99.61,3.68
lurch,2305,2314,99.61,3.68
lusty,2305,2314,99.61,3.68
match,2305,2314,99.61,3.68
medic,2305,2314,99.61,3.68
month,2305,2314,99.61,3.68
poesy,2305,2314,99.61,3.68
prick,2305,2314,99.61,3.68
scarf,2305,2314,99.61,3.68
sinew,2305,2314,99.61,3.68
swore,2305,2314,99.61,3.68
sworn,2305,2314,99.61,3.68
aping,2305,2314,99.61,3.69
bring,2305,2314,99.61,3.69
caulk,2305,2314,99.61,3.69
glory,2305,2314,99.61,3.69
